Species;population;N.ind;N.plots
Mauritiella aculeata;2,36E+08;477;32
Trattinnickia glaziovii;2,36E+08;508;111
Licania alba;2,36E+08;1516;137
Acosmium cardenasii;2,36E+08;399;13
Eschweilera tenuifolia;2,34E+08;565;35
Protium nodulosum;2,34E+08;665;155
Matisia cordata;2,33E+08;584;64
Chaetocarpus schomburgkianus;2,33E+08;968;112
Perebea guianensis;2,31E+08;582;179
Protium pilosissimum;2,30E+08;702;56
Senegalia polyphylla;2,30E+08;370;75
Iryanthera hostmannii;2,27E+08;619;147
Protium opacum;2,26E+08;925;257
Swartzia reticulata;2,26E+08;819;137
Pouteria anomala;2,26E+08;1332;229
Urera caracasana;2,25E+08;399;59
Apeiba tibourbou;2,24E+08;364;124
Pourouma tomentosa;2,24E+08;668;248
Eschweilera itayensis;2,24E+08;490;87
Iryanthera macrophylla;2,24E+08;519;110
Myrciaria floribunda;2,24E+08;743;175
Pouteria multiflora;2,24E+08;504;122
Bellucia grossularioides;2,24E+08;720;109
Iryanthera paraensis;2,22E+08;411;111
Crateva tapia;2,21E+08;712;57
Catostemma commune;2,21E+08;899;57
Alchornea triplinervia;2,21E+08;452;95
Leptolobium nitens;2,21E+08;1153;76
Cecropia distachya;2,21E+08;611;163
Glycydendron amazonicum;2,20E+08;596;266
Eschweilera collina;2,20E+08;975;166
Protium subserratum;2,19E+08;589;237
Dendrobangia boliviana;2,19E+08;1044;266
Licania densiflora;2,18E+08;799;69
Apeiba membranacea;2,17E+08;848;176
Heterostemon mimosoides;2,17E+08;651;35
Maquira calophylla;2,16E+08;771;243
Thyrsodium spruceanum;2,16E+08;652;256
Ficus maxima;2,15E+08;573;185
Poulsenia armata;2,15E+08;519;68
Sorocea briquetii;2,14E+08;555;73
Croton matourensis;2,14E+08;1301;157
Xylopia frutescens;2,14E+08;299;43
Inga lateriflora;2,14E+08;336;85
Tachigali poeppigiana;2,13E+08;547;81
Pourouma mollis;2,13E+08;1045;176
Hieronyma alchorneoides;2,13E+08;659;161
Chaetocarpus echinocarpus;2,12E+08;429;26
Casearia javitensis;2,11E+08;1008;311
