species;population;N.ind;N.plots;pop.sd
Talisia cupularis;13713582,9836;10;8;8581505,41255316
Talisia esculenta;75429855,9906;56;17;22992056,9901326
Talisia eximia;239397,8384;1;1;313075,668276186
Talisia firma;3250738,2478;7;6;1380418,30243901
Talisia furfuracea;8167767,4452;33;19;3112202,35820807
Talisia guianensis;13351509,1928;18;13;8108463,6020717
Talisia hemidasya;8124521,1086;11;5;4054162,30231642
Talisia hexaphylla;88582181,3344;138;56;19365476,7922697
Talisia japurensis;2756011,9414;1;1;2311458,58393112
Talisia longifolia;72662001,0838;35;20;38842695,8505589
Talisia macrophylla;26670688,8996;23;21;10376662,2433631
Talisia megaphylla;9707378,977;22;15;4127500,58215076
Talisia microphylla;14726975,3802;51;32;4099693,59086556
Talisia mollis;26000094,6578;36;23;10784489,3771532
Talisia nervosa;1571867,6232;2;2;1281572,76068368
Talisia obovata;68804822,4822;38;5;55460914,0200506
Talisia pachycarpa;1536741,1794;2;2;1325088,41676456
Talisia parviflora;2764899,7698;3;2;2493059,91707361
Talisia praealta;6318048,099;27;21;1743806,03281762
Talisia princeps;2223178,7086;4;4;1724619,26982078
Talisia retusa;126076913,1744;70;14;39595279,2084495
Talisia simaboides;7202621,8226;41;31;1567833,86241601
Talisia squarrosa;194556172,6062;438;31;47008689,9969452
Talisia subalbens;1172811,7608;2;2;759023,539251564
Talisia sylvatica;10800562,6844;20;5;8812176,80346671
Talisia veraluciana;4242631,624;9;9;1696596,96603067
Tapirira bethanniana;11849744,7926;35;20;4363170,00267416
Tapirira guianensis;963438756,672;1549;395;85776534,4011572
Tapirira obtusa;220968206,79;417;142;34030273,2724007
Tapirira retusa;83162086,5398;67;32;26767019,9403281
Tapura acreana;194549014,8646;183;29;65062343,6692948
Tapura amazonica;202465313,852;450;164;29619960,580427
Tapura capitulifera;16409714,4324;88;28;4749886,87576788
Tapura coriacea;15838523,4352;25;20;4067422,19912536
Tapura guianensis;176820781,264;383;105;44398723,1167356
Tapura juruana;226046097,654;288;85;44105021,889907
Tapura lanceolata;11628224,7598;23;10;5283339,37527058
