Accepted_species;n.ind;n.plots;est.ind;population.mean;population.sd
Aspidosperma_pyrifolium;3;2;1026295,05715266;1153379,116783;789358,450601293
Kutchubaea_morilloi;1;1;1158714,62893412;1152463,5633752;1175578,73954391
Licaria_vernicosa;5;3;1170141,54614285;1150725,882465;674167,843427852
Moquilea_celiae;2;2;1073137,43023585;1148158,900849;888315,814565531
Cecropia_metensis;1;1;1159263,48631932;1147675,8001578;1144713,60825365
Annona_densicoma;3;3;1175013,10778269;1147520,2621856;687328,550047121
Inga_japurensis;2;1;1092566,5270193;1146166,835366;1056609,53272196
Miconia_aurea;3;3;1154314,69226396;1139011,6116516;758402,037800759
Duroia_velutina;1;1;1125399,71341511;1138930,7100276;1125633,38705405
Endlicheria_ferruginosa;2;1;948471,909429918;1138760,4367968;1096526,83296042
Vochysia_kosnipatae;11;1;1130013,30335944;1138504,1125002;1077026,09160919
Chomelia_obtusa;2;2;1103302,42751358;1138412,5163676;704114,318302769
Zanthoxylum_petiolare;1;1;1528149,50665642;1138042,11804;946946,048981514
Miconia_truncata;1;1;1173513,63124427;1137950,2672616;1123702,41998905
Lacunaria_oppositifolia;2;1;1252117,70869924;1137684,130428;1037071,03910367
Beilschmiedia_sulcata;1;1;1307289,06322386;1136692,3122006;1006406,67776536
Faramea_berryi;1;1;1114827,81639403;1133616,6305522;937665,808158647
Platycarpum_decipiens;1;1;1129885,54167102;1132677,8293416;1168478,24234753
Pouteria_stipitata;2;1;1175611,18498541;1132435,9923582;1178001,41278385
Calophyllum_pachyphyllum;1;1;1041641,63874878;1132136,2011574;1119620,00972972
Phragmotheca_amazonica;2;2;1163874,04946086;1131253,0240158;920250,185507063
Picrolemma_sprucei;1;1;1041244,00515942;1129611,401341;1120704,61380926
Salacia_juruana;1;1;1114827,81639403;1128764,8059968;953943,522722035
Ocotea_diospyrifolia;1;1;1125399,71341511;1128294,4602648;1100965,6807121
Neocalyptrocalyx_leprieurii;7;4;1033160,20360872;1124542,02723076;667838,812149636
Eugenia_myrobalana;5;5;1111259,89504303;1124059,9298584;517687,593066934
Miconia_glaucescens;4;4;1081569,09851974;1123396,8607991;614510,045196383
Jacaranda_brasiliana;4;1;991770,134661656;1121773,345436;1161962,68533968
Graffenrieda_limbata;3;2;1168542,46386371;1116904,3537928;1026782,24637269
Alexa_canaracunensis;2;1;1173129,3356409;1116327,8137386;1043177,22143416
Clavija_lancifolia;2;2;1126858,44168366;1110777,4201024;872642,75131609
Ficus_hebetifolia;1;1;1134910,51632006;1110073,6975166;1151049,50431664
Zinowiewia_australis;2;2;1191215,49690492;1107068,698293;834391,962546558
Alseis_pickelii;1;1;1185744,19264595;1106861,1533388;1052405,12130275
Talisia_nervosa;2;2;1114216,97136161;1106585,8512442;778230,090211166
Anisocapparis_speciosa;4;1;991630,703353415;1102250,7905928;1154706,97062784
Guatteria_sellowiana;4;1;991770,134661656;1101248,4162174;1175999,13768257
