Species;population;N ind;N plots
Bursera_inversa;4047720,03663005;8;2
Bursera_simaruba;3168703,89003239;6;4
Byrsonima_aerugo;23746607,9543694;131;42
Byrsonima_altissima;2592991,55812023;15;10
Byrsonima_arthropoda;15889652,8486166;46;27
Byrsonima_basiloba;1168390,16639241;4;1
Byrsonima_chrysophylla;8408347,41483675;19;11
Byrsonima_coccolobifolia;678717,019539175;4;2
Byrsonima_concinna;3076373,23639819;7;5
Byrsonima_cowanii;334060,873567937;1;1
Byrsonima_crassifolia;15019407,5524037;32;19
Byrsonima_crispa;49874233,4181036;131;65
Byrsonima_cydoniifolia;32710417,3049155;54;6
Byrsonima_densa;53482318,823712;449;84
Byrsonima_duckeana;16331103,6941678;50;32
Byrsonima_eugeniifolia;1711394,39755705;2;1
Byrsonima_fernandezii;2195530,69945491;4;4
Byrsonima_flexipes;5261186,84320629;14;10
Byrsonima_frondosa;938847,723401743;2;2
Byrsonima_garcibarrigae;3639809,86820894;17;7
Byrsonima_incarnata;38181101,1291212;91;25
Byrsonima_intermedia;12600349,9947257;86;3
Byrsonima_japurensis;114232587,699204;228;46
Byrsonima_krukoffii;477612,447649344;1;1
Byrsonima_laevigata;26796025,3675311;42;22
Byrsonima_laevis;6631850,13011825;25;7
Byrsonima_lancifolia;2067883,20832697;3;2
Byrsonima_laxiflora;306596,606133552;2;2
Byrsonima_leucophlebia;8754282,31328984;16;5
Byrsonima_macrostachya;2510076,48502211;6;5
Byrsonima_poeppigiana;18136991,4943923;35;27
Byrsonima_punctulata;10753855,5221425;55;5
Byrsonima_putumayensis;15578463,9427186;35;16
Byrsonima_riparia;5283154,10501399;30;4
Byrsonima_rodriguesii;262381,090333466;3;3
Byrsonima_schomburgkiana;3143085,91126767;10;5
Byrsonima_schunkei;1960453,09295067;1;1
Byrsonima_spicata;19939103,7858515;40;8
Byrsonima_stipulacea;36245745,872246;318;55
Byrsonima_stipulina;16530193,7152882;50;14
Byrsonima_verbascifolia;584195,083196203;2;1
Cabralea_canjerana;71980273,3424015;184;73
Calatola_costaricensis;82971783,2247039;299;48
Calatola_microcarpa;13662332,39995;31;14
Calliandra_guildingii;5380573,35830617;14;11
Calliandra_hirsuta;88851,5201188963;1;1
Calliandra_hymenaeoides;486270,286263708;9;2
Calliandra_laxa;67486797,818694;132;7
Calliandra_magdalenae;3256994,76587552;9;7
Calliandra_purpurea;367098,136296997;3;3
Calliandra_surinamensis;8922194,19388842;14;12
Calliandra_trinervia;22208601,9214052;53;27
Callisthene_fasciculata;17624194,2035735;38;5
Calophyllum_brasiliense;491886767,694003;1494;256
Calophyllum_longifolium;35909871,0018863;80;15
Calophyllum_pachyphyllum;1340375,03696462;3;2
Calycogonium_heterophyllum;138966,92084104;1;1
Calycolpus_calophyllus;6535108,10704984;8;4
Calycolpus_goetheanus;1205186,97493408;5;5
Calycolpus_revolutus;6393709,8527914;62;10
Calycophyllum_megistocaulum;78293998,3484181;173;60
Calycophyllum_multiflorum;7369536,47979989;16;5
Calycophyllum_spruceanum;210351862,036429;723;102
Calycorectes_bergii;4407298,31211563;5;1
Calycorectes_guyanensis;165337,835003966;1;1
Calycorectes_psidiiflorus;1201618,29063605;7;1
Calyptranthes_amshoffae;1649641,7948999;3;2
Calyptranthes_bipennis;50019961,4426536;430;77
Calyptranthes_concinna;133249,715955613;1;1
Calyptranthes_crebra;81609779,4483262;137;33
Calyptranthes_cuspidata;62735377,1774363;154;47
Calyptranthes_densiflora;9491334,97674322;14;11
Calyptranthes_fasciculata;16668504,164505;28;10
Calyptranthes_forsteri;29061166,8323893;41;21
Calyptranthes_krugioides;1725365,11049266;4;4
Calyptranthes_lepida;175180,947777323;1;1
Calyptranthes_longifolia;1139602,38100394;7;4
Calyptranthes_lucida;25270844,3253822;40;5
Calyptranthes_macrophylla;9598832,80824346;106;25
Calyptranthes_maxima;4066055,86693512;16;11
Calyptranthes_multiflora;26632752,9657641;42;13
Calyptranthes_nigrescens;16921967,5132578;84;7
Calyptranthes_paniculata;5711531,38276678;20;13
Calyptranthes_plicata;515674,859954833;1;1
Calyptranthes_pulchella;9904887,63904406;13;4
Calyptranthes_ruiziana;2688144,03451068;6;3
Calyptranthes_simulata;1736101,54906161;8;3
Calyptranthes_speciosa;7861562,56021964;37;17
Calyptranthes_spruceana;30348782,929269;74;9
Calyptranthes_tessmannii;1891175,86565941;6;2
Campnosperma_gummiferum;3845979,0622223;5;1
Campomanesia_aromatica;25282727,1197422;48;20
Campomanesia_aurea;1219925,65201858;6;4
Campomanesia_eugenioides;62548,1108792821;1;1
Campomanesia_grandiflora;680535,15598567;3;1
Campomanesia_lineatifolia;2639976,95872465;9;8
Campomanesia_neriiflora;2287037,51514334;3;3
Campomanesia_speciosa;360214,294705902;1;1
Campsiandra_angustifolia;136164433,87409;223;31
Campsiandra_casiquiarensis;10701836,3291585;17;1
Campsiandra_comosa;378044398,513777;647;91
Campsiandra_gomez-alvareziana;6921369,46975341;12;2
Campsiandra_guayanensis;2222553,97208619;2;1
Campsiandra_implexicaulis;120202919,426459;498;67
Candolleodendron_brachystachyum;62644512,5496684;2069;66
Capirona_decorticans;210605505,68765;466;132
Capparidastrum_coimbranum;37226670,580413;52;2
Capparidastrum_macrophyllum;1639399,58110056;5;3
Capparidastrum_osmanthum;16811270,9242446;76;30
Capparidastrum_petiolare;23609518,4094159;31;6
Capparidastrum_solum;11550257,4681069;20;11
Capparis_flexuosa;3015596,80648773;6;4
Capparis_tenera;16415691,496058;17;2
Caraipa_ampla;2206540,11570919;1;1
Caraipa_costata;2302935,0181673;24;4
Caraipa_densifolia;317825752,840084;566;80
Caraipa_duckeana;666881,491732097;1;1
Caraipa_grandifolia;367986796,872353;628;117
Caraipa_heterocarpa;30311900,9001963;43;17
Caraipa_jaramilloi;986842,623370752;3;1
Caraipa_llanorum;34823742,2775519;159;8
Caraipa_longipedicellata;164402531,519472;239;18
Caraipa_myrcioides;6154703,39464025;18;11
Caraipa_odorata;4375887,65342749;9;3
Caraipa_parvielliptica;4514816,38684427;9;2
Caraipa_punctulata;155475121,695197;204;34
Caraipa_racemosa;150006,605811305;3;2
Caraipa_richardiana;38653924,3772503;144;26
Caraipa_rodriguesii;3087530,60121253;4;2
Caraipa_savannarum;37155520,7800613;37;3
Caraipa_spuria;45217436,7222039;34;5
Caraipa_tereticaulis;70619400,2616881;127;9
Caraipa_utilis;333474229,709386;1183;10
Caraipa_valioi;35785487,6096475;55;8
Carapa_grandiflora;1462050,9864289;1;1
Carapa_guianensis;765584952,91343;3574;359
