Species;population;N.ind;N.plots
Enterolobium schomburgkii;201592780,847621;646;243
Guatteria discolor;201179146,95395;491;124
Aspidosperma cuspa;200575265,460182;316;7
Couepia paraensis;199901058,182922;418;74
Eschweilera micrantha;199450288,186313;1324;155
Chrysophyllum argenteum;199346729,367407;681;208
Roucheria columbiana;198964820,110024;602;193
Euterpe catinga;198573902,63418;287;12
Pouteria procera;198067027,574716;832;156
Ocotea glomerata;196181346,379323;702;93
Leptobalanus longistylus;195920896,885718;431;147
Sarcaulus brasiliensis;195684115,823877;884;230
Eugenia florida;195594078,857906;472;166
Anaueria brasiliensis;194793791,225409;206;51
Peltogyne catingae;194599283,76858;293;78
Moquilea egleri;194561946,071829;712;135
Pachira insignis;194500596,383294;499;122
Capirona decorticans;193905784,341794;491;141
Tapura amazonica;193622010,512715;782;233
Macrolobium multijugum;193516254,445555;444;39
Diospyros guianensis;192966135,64032;1014;120
Tachigali venusta;192705916,889114;373;79
Tabebuia aurea;192620556,102511;450;8
Ocotea aurantiodora;192462162,01922;512;157
Amphirrhox longifolia;192275445,093451;407;102
Pouteria multiflora;192111876,174091;412;97
Cordia bicolor;191917805,773095;878;146
Ormosia paraensis;191506387,675988;462;183
Aspidosperma rigidum;190171217,015431;423;145
Licania buxifolia;189922592,080954;976;24
Oenocarpus distichus;189796643,669984;313;91
Trattinnickia rhoifolia;189649978,225874;603;173
Miconia punctata;188954652,901335;761;159
Unonopsis floribunda;187809380,426147;589;111
Eschweilera ovalifolia;187587239,541927;336;63
Tabebuia insignis;185993570,131364;727;33
Brosimum parinarioides;185634845,780515;569;271
Trichilia septentrionalis;184573861,917484;664;224
Pouteria glomerata;184193126,499708;433;123
Theobroma obovatum;183315473,190664;431;97
Cynometra bauhiniifolia;183125940,942794;300;54
Micrandra siphonioides;182856760,13545;397;48
Hevea nitida;182845702,41633;349;39
Nectandra amazonum;182828514,647763;468;61
Terminalia amazonia;182445676,916233;588;203
Perebea mollis;182286632,260659;345;154
Apuleia leiocarpa;181841296,913119;371;144
Duguetia spixiana;180714241,223963;546;91
Mollia speciosa;179792349,159269;464;34
Rinorea riana;179055087,708147;4676;79
Tachigali rugosa;179025990,656613;416;37
Warszewiczia coccinea;178370080,966994;307;80
Sterculia excelsa;178200066,848618;929;238
Erisma calcaratum;177936572,352696;404;42
Inga nobilis;177600920,734203;565;170
Pourouma ovata;176555068,229226;445;124
Matisia ochrocalyx;176304754,406171;732;135
Eschweilera punctata;176036717,975086;356;29
Cordia exaltata;174790774,978372;850;211
Nectandra cuspidata;174543087,898082;369;110
Rinorea viridifolia;174519510,757199;562;67
Couratari stellata;174131153,446081;553;183
Swartzia schomburgkii;173801806,79795;444;113
Lacistema aggregatum;173372524,995887;488;198
Ocotea leucoxylon;172995890,24773;451;69
Brosimum acutifolium;172826006,111895;374;209
Eschweilera andina;172757953,24106;344;71
Casearia gossypiosperma;172755339,103997;358;54
Cordia nodosa;171485831,173762;440;162
Matayba inelegans;170785593,266981;271;70
Licania membranacea;170654618,864988;1073;176
Micrandropsis scleroxylon;170028086,55213;509;51
Dipteryx odorata;169434947,213217;735;269
Protium divaricatum;169072381,227824;413;93
Symmeria paniculata;168472126,609084;534;66
Sorocea guilleminiana;167236785,85651;376;139
Ceiba pentandra;166717575,388466;314;166
Naucleopsis ulei;165691166,520782;381;168
Xylopia benthamii;165510199,461268;506;141
Tapura juruana;164555889,632971;371;102
Poincianella pluviosa;164363388,776036;274;6
Poraqueiba guianensis;163948912,203347;1035;163
Aspidosperma desmanthum;163568228,561148;1000;234
Xylopia nitida;163071268,964472;1084;248
Pouteria filipes;162595285,940712;1184;212
Myrcia splendens;162343426,715763;339;90
Leptobalanus latus;162225686,87604;317;90
Miconia chrysophylla;162059418,580259;457;63
Bocoa viridiflora;161798385,812072;595;180
Mouriri grandiflora;161455416,87993;427;91
Pseudoxandra polyphleba;161299704,942607;265;56
Elaeoluma glabrescens;161233745,870171;327;41
Eschweilera rufifolia;161202180,168004;557;111
Allantoma decandra;160914977,116823;495;160
Hymenopus latifolius;160376872,706421;360;121
Lunania parviflora;160276221,47929;502;65
Oxandra xylopioides;160201401,601322;375;126
Sorocea steinbachii;159806107,69477;628;110
Protium nitidifolium;159486220,038419;262;117
Himatanthus articulatus;159386902,613096;276;101
Protium polybotryum;159112272,687387;487;109
Physocalymma scaberrimum;159103845,240593;375;42
Swartzia racemosa;158225492,396818;909;146
Mouriri apiranga;158160489,827002;349;69
Rhodothyrsus macrophyllus;158040640,031291;266;73
Siparuna guianensis;157937427,25895;343;111
Brosimum alicastrum;157485312,133974;435;113
Protium pallidum;157279785,930845;656;115
Mouriri nigra;157030916,200715;456;137
Alexa confusa;156401213,117251;348;12
Matisia malacocalyx;155921597,014568;1044;86
Aldina latifolia;155734781,422455;579;25
Oenocarpus mapora;155317723,351359;605;112
Lecythis prancei;154903380,24587;1166;154
Astronium graveolens;154831050,771094;500;118
Stryphnodendron guianense;154691545,263745;292;75
Terminalia oblonga;154531735,99484;336;96
Inga paraensis;154219710,690098;396;157
Lindackeria paludosa;153991441,184012;439;127
Cordia goeldiana;153881014,240608;327;88
Aspidosperma spruceanum;153836028,164079;712;154
Guatteria subsessilis;153705604,875366;429;27
Endopleura uchi;153543533,853769;1429;186
Inga umbellifera;153312519,81082;539;181
Sloanea pubescens;151581374,849233;462;130
Tapirira obtusa;151526703,329263;572;198
Swartzia recurva;150904188,450567;1253;213
Hirtella bicornis;150535686,450238;544;181
Swartzia leiocalycina;150060847,906371;624;26
Anacardium giganteum;149797905,386367;300;153
Aspidosperma parvifolium;149745231,360655;426;108
