"species";"population";"N.ind";"N.plots";"pop.sd"
"Licania_buxifolia";389036415,664;779;20;111237018,626986
"Enterolobium_schomburgkii";388264645,486;428;157;56790452,0654469
"Caraipa_densifolia";388264588,188;435;54;113107690,645348
"Vitex_cymosa";387565954,3908;357;29;217374225,506558
"Vatairea_guianensis";386858037,06;439;111;76748183,7016243
"Micrandra_elata";386194238,3644;684;21;187650113,193448
"Cordia_bicolor";382675526,746;374;104;60847580,8762222
"Licania_alba";382618336,186;1071;106;79818114,3832896
"Haploclathra_cordata";381934012,9986;543;6;287890293,332391
"Swartzia_leiocalycina";381765514,094;557;23;134152938,874059
"Xylopia_amazonica";380995627,628;511;72;95609705,4626805
"Inga_marginata";375806056,552;480;149;85557204,9657813
"Pterocarpus_amazonum";375163334,812;414;80;98377281,8890069
"Eschweilera_truncata";373505567,616;146;16;120564487,378592
"Pseudopiptadenia_suaveolens";373337098,03;506;200;46043897,2441735
"Abarema_jupunba";372678182,148;547;240;39719510,7777547
"Macrolobium_acaciifolium";370648331,422;390;69;99145781,4184193
"Eschweilera_amazonica";368894880,106;667;88;54975450,5829844
"Paramachaerium_ormosioides";368615325,0368;353;48;152881006,33024
"Aldina_heterophylla";368203857,314;486;31;92957640,1218727
"Anadenanthera_colubrina";367050238,106;326;11;129473263,585314
"Astrocaryum_jauari";366623947,534;325;36;74256436,9412428
"Rinorea_riana";364350412,894;594;69;53236053,7045271
"Pouteria_macrophylla";364257563,494;462;140;62804718,3050815
"Pouteria_procera";361217330,852;471;128;68195330,1015523
"Micrandra_siphonioides";359859143,846;381;40;89352021,0015004
"Pourouma_ovata";358355043,374;323;95;86207580,2338399
"Pseudolmedia_rigida";357755719,0486;530;52;204674168,016829
"Castilla_ulei";354153484,376;311;114;59943085,6842168
"Lecythis_retusa";353192892,2998;125;22;213866082,790786
"Alexa_grandiflora";352290947,356;263;18;121308993,118134
"Protium_altsonii";349982975,958;549;149;79648726,4903614
"Hieronyma_alchorneoides";349183966,784;468;118;81696535,6906424
"Guatteria_poeppigiana";348336245,994;409;101;56886545,9431181
"Terminalia_amazonia";347791071,692;407;143;64363933,042352
"Pouteria_cladantha";347153789,638;584;205;41113731,2873666
"Mabea_piriri";346863750,53;613;102;57680767,9670653
"Acosmium_nitens";345275114,736;606;25;130901705,018726
"Toulicia_guianensis";345078581,406;377;75;58237185,721333
"Lecythis_lurida";343891037,384;252;53;62188542,9140062
"Astronium_lecointei";343520294,42;224;114;113704788,205374
"Alchornea_discolor";341975558,578;357;84;107181041,748184
"Swartzia_ulei";341820697,1656;264;33;108551403,538118
"Casearia_gossypiosperma";341571908,054;350;49;85902810,1235047
"Manilkara_huberi";341130145,486;418;129;76562526,5729948
"Peltogyne_catingae";341114661,872;157;43;93021105,1946645
"Naucleopsis_caloneura";340388017,852;570;129;79522951,9305403
"Protium_subserratum";337637921,904;446;171;69666740,6196389
"Mollia_lepidota";337100684,832;315;34;133752393,850683
"Chrysophyllum_prieurii";336047960,428;494;166;69644161,4024709
"Protium_nodulosum";333971597,779519;411;102;97799329,8894725
"Iryanthera_tricornis";333467075,186;364;68;53256376,907976
"Miconia_pyrifolia";333378410,15;496;69;86651288,6680102
"Dendrobangia_boliviana";333193009,382;887;200;44657517,8198635
"Pouteria_torta";333091869,482;636;197;45540623,0647788
"Peltogyne_paniculata";332720563,3;310;112;94062131,0087975
"Alchornea_triplinervia";332250812,354;265;65;156302637,728568
"Licania_canescens";330764867,064;617;181;59927947,9495047
"Manicaria_saccifera";329724738,7924;742;15;197309236,922705
"Endopleura_uchi";329065983,86;362;127;44207932,0798373
"Urera_caracasana";328005892,7256;325;49;134664311,065465
"Malouetia_tamaquarina";327696468,51;327;47;67674888,860344
"Leopoldinia_piassaba";327362337,474;265;7;131560365,741932
"Protium_amazonicum";326911296,18;548;176;39339224,770997
"Eschweilera_ovata";324458609,0006;298;25;118014533,141572
"Micropholis_egensis";323072946,362;479;166;73018918,5453611
"Pourouma_tomentosa";322932538,206;425;172;58152965,2512812
"Macrolobium_limbatum";322793359,136734;377;129;48923058,4428905
"Discocarpus_essequeboensis";321405950,1074;220;12;164756920,899501
"Croton_megalodendron";321228499,172;310;12;101167858,769054
"Duguetia_echinophora";320746430,9578;237;73;133056836,584322
"Pourouma_mollis";320413679,094;844;128;48752481,6565548
"Nealchornea_yapurensis";319880084,884;311;82;51094895,6069347
"Protium_pilosissimum";319256213,064;615;38;75702713,3023975
"Peltogyne_gracilipes";317266692,9434;117;3;259853618,209719
"Caesalpinia_pluviosa";315351869,5966;274;6;129440754,322637
"Tachigali_poeppigiana";315143498,04;487;55;134892548,998112
"Protium_opacum";313895659,518;568;162;55185955,703588
"Eschweilera_punctata";312321171,802;301;25;105005838,831765
"Myrciaria_floribunda";312258460,55;268;104;132477101,760807
"Caraipa_punctulata";311943947,6688;197;27;204650235,639682
"Digomphia_densicoma";311145001,28;199;1;270914707,109725
"Ocotea_leucoxylon";310942563,7456;367;49;109767979,875804
"Taralea_oppositifolia";309857027,038;339;74;55589255,1695762
"Poraqueiba_guianensis";309852811,508;911;135;38061581,1629977
"Protium_rhoifolium";309481498,886;308;114;64271645,7216955
"Unonopsis_floribunda";309263188,314;520;94;66362217,7045316
"Protium_spruceanum";308737999,276;484;151;52133602,1635198
"Guatteria_olivacea";308733422,594;545;121;37870108,5332115
"Mora_paraensis";308319272,6252;942;19;101591518,711823
"Protium_paniculatum";305964980,258;573;151;67467173,5439041
"Sapium_marmieri";305908150,788;448;131;38717591,1909817
"Hevea_nitida";305825623,128;329;35;84068485,6905846
"Duguetia_pycnastera";303627814,066;275;55;76073888,6109915
"Lecythis_confertiflora";302808738,704;457;38;86779946,9084433
"Pterocarpus_officinalis";302693002,204;1054;68;73040271,3452643
"Ocotea_cinerea";302536564,704;370;89;82864025,0776854
"Sapium_glandulosum";302000645,064;387;124;71075887,1026491
"Drypetes_variabilis";301492925,382;650;192;45142949,1649627
"Duguetia_spixiana";300936401,638;439;68;75334745,8237503
"Pseudoxandra_polyphleba";300397871,476;265;51;82397229,0772763
"Iryanthera_lancifolia";299660431,776;653;115;101869468,519479
"Handroanthus_serratifolius";298107453,924493;328;152;48506342,4175037
"Pouteria_pallens";297695744,2778;73;19;170305166,65164
"Schefflera_morototoni";296484199,724;370;199;38277362,3430442
"Protium_robustum";296001325,456;244;60;64977624,7963894
"Euterpe_catinga";291660784,2828;255;8;165541643,269269
"Heterostemon_mimosoides";291398596,6704;409;21;97784919,1916289
