species;population;N.ind;N.plots
Bathysa bathysoides;32081418,7361711;81;5
Rinorea racemosa;617040791,299657;5490;346
Inga umbellifera;153310826,105549;539;181
Guarea kunthiana;681362144,9827;1539;302
Pera bicolor;221014358,978961;535;112
Quararibea wittii;446118120,382939;1286;87
Duguetia lepidota;22217222,4891696;72;5
Ocotea cinerea;340900603,104167;720;177
Pachira flaviflora;54234491,2124098;418;35
Amphirrhox longifolia;192267254,783859;407;102
Paramachaerium ormosioides;104156976,844002;376;53
Erythroxylum spruceanum;37578442,971031;188;11
Eugenia pseudopsidium;63485630,1346433;193;68
Allantoma decandra;160845746,165818;495;160
Micrandra spruceana;572041448,749246;1088;85
Swartzia polyphylla;472575675,064642;1778;340
Chrysophyllum revolutum;9770973,3868746;21;1
Tachigali paniculata;575088563,911002;1274;278
Iryanthera laevis;548917149,471484;1454;338
Eschweilera truncata;464045919,799679;585;95
Duroia nitida;50641860,9794548;107;9
Campsiandra comosa;372274265,619982;747;94
Eschweilera parvifolia;487038765,290935;1348;122
Eschweilera itayensis;224191012,266803;490;87
Licania stewardii;32823942,309611;80;7
Tachigali tinctoria;73826768,1345239;224;13
Piranhea longepedunculata;60843545,0801744;273;8
Miconia argyrophylla;84109579,1617418;339;93
Allophylus scrobiculatus;42219695,6808235;159;19
Eschweilera bracteosa;569460657,833023;1959;238
Cassia leiandra;48235255,3095751;91;26
Inga alba;918971129,009014;2969;591
Sloanea guianensis;428678849,547115;915;321
Micropholis venulosa;512746832,950639;1590;487
Qualea acuminata;133056020,051851;296;57
Alchornea triplinervia;225566866,197571;457;97
Pseudolmedia laevigata;1169022706,19485;2425;436
Exellodendron barbatum;66157187,0329245;200;29
Licania parviflora;65061756,0366129;110;26
Cecropia peltata;43146064,451004;161;23
Stenostomum acreanum;38420394,4251979;188;16
Handroanthus serratifolius;373658414,807932;836;256
Licania alba;236270008,617035;1516;137
Ocotea aciphylla;458300672,969711;1009;223
Rinorea riana;179384686,353985;4676;79
Swartzia reticulata;217498402,787242;819;137
Vouacapoua americana;299049145,470663;1632;174
Cecropia concolor;133023933,59726;281;66
Ormosia excelsa;71558420,4426844;301;29
Caraipa savannarum;33939729,3935193;37;3
Pouteria gomphiifolia;257724116,571142;549;76
Iriartella setigera;109540381,885504;145;20
Trichilia lepidota;79738980,5760313;263;43
Virola elongata;816456489,263659;1884;343
Celtis schippii;420220031,531457;1225;169
Hirtella racemosa;383841351,835523;1086;176
Cecropia angulata;23718297,0511586;66;8
Swartzia ulei;108542162,276442;307;43
Casearia gossypiosperma;172806153,744811;358;54
Pentaplaris davidsmithii;79803126,823162;199;14
Sorocea steinbachii;159808656,52777;628;110
Caraipa longipedicellata;147942266,38366;239;18
Alexa grandiflora;293952854,890998;664;103
Macrolobium gracile;124784060,283022;275;49
Zygia latifolia;318219755,849305;1120;170
Ocotea matogrossensis;71866154,3453986;155;51
Cecropia palmata;103155026,510763;461;80
Cynophalla polyantha;5373464,33724557;74;1
Zygia cataractae;297585642,187875;496;66
Gustavia pulchra;130267070,010916;198;11
Protium picramnioides;692083761,296308;4496;477
Gallesia integrifolia;128455600,309602;216;47
Lonchocarpus nicou;32923750,6429921;147;7
Luehea speciosa;75921412,3019029;349;76
Coussarea hirticalyx;37728549,8711688;44;7
Tapura amazonica;193491924,192534;781;233
Eschweilera grandiflora;849583243,56067;3305;330
Limadendron hostmannii;31035102,5926819;197;17
Bellucia grossularioides;222343297,664421;720;109
Browneopsis ucayalina;94867419,4467141;197;25
Xylopia barbata;38423832,6663898;96;12
Pachira aquatica;95341544,4643552;521;85
Elvasia canescens;33304076,0693219;73;3
Lecythis persistens;147074464,582684;1534;73
Leptobalanus latus;162085731,542468;317;90
Tabernaemontana rupicola;56078229,1225998;59;4
Eschweilera ovalifolia;187570694,973426;336;63
Micrandropsis scleroxylon;169912456,853507;509;51
Emmotum floribundum;99483398,0599717;216;25
Pradosia surinamensis;63633965,803324;97;11
Chelyocarpus chuco;45942016,5660857;108;13
Anisophyllea guianensis;49683566,2802133;152;17
Discocarpus essequeboensis;234699816,514237;649;47
Eschweilera micrantha;199258182,972622;1324;155
Ficus trigona;58246812,6549512;178;61
Miconia poeppigii;115511797,897537;295;61
Eschweilera amazoniciformis;62920120,0453595;219;40
Enterolobium maximum;38532521,826071;175;43
Tachigali guianensis;253396185,376046;642;138
Eperua glabriflora;78993019,2787885;529;103
Apeiba tibourbou;261447756,155637;364;124
Parahancornia amara;17393234,2851984;133;4
Calliandra laxa;57699560,8739637;132;7
Macrolobium microcalyx;145156874,819012;346;63
Aparisthmium cordatum;349140648,186687;894;173
Discophora guianensis;61718150,1150172;244;80
Calycophyllum spruceanum;202611605,723103;724;103
Astrocaryum chonta;89976656,6605365;333;24
Roupala montana;85468700,9143352;399;73
Aspidosperma subincanum;5772998,6937874;46;7
Alchornea grandiflora;25385566,7611916;24;1
Albizia barinensis;62999142,9924446;108;8
Micropholis maguirei;84646531,5855688;144;8
Piptadenia viridiflora;35491769,8991004;78;6
Tachigali micropetala;124763705,520867;162;62
Croton matourensis;209947775,209094;1301;157
Virola sebifera;465441255,76811;1098;290
Tovomita grata;43855343,8609337;178;26
Otoba glycycarpa;248467134,551859;1089;97
Brosimum guianense;1002433321,98967;2826;658
Sapium glandulosum;292066063,098486;703;215
Mezilaurus crassiramea;11765570,3985672;42;2
Chaetocarpus echinocarpus;224053162,547352;459;27
Naucleopsis ternstroemiiflora;73519567,1524498;254;48
Protium divaricatum;168933989,983417;413;93
Bocoa prouacensis;101268741,239824;786;81
Aspidosperma cylindrocarpon;76519254,8078168;151;19
Tachigali formicarum;81811061,3466945;243;60
Ocotea guianensis;372006594,443969;938;120
Myrcia multiflora;141116211,41972;315;46
Sloanea robusta;102805103,642581;299;32
Sloanea sinemariensis;27947489,609598;106;31
Pouteria macrophylla;303571139,670904;1238;211
Ocotea schomburgkiana;112586281,454703;497;38
Alchornea castaneifolia;45748371,2323559;78;13
Leptobalanus octandrus;503222035,493988;1835;365
Dialium guianense;973332695,4698;2118;582
Eriotheca discolor;10009399,9074624;15;2
Pourouma mollis;215552544,064857;1054;179
Vatairea guianensis;445706698,779419;1220;252
Ficus insipida;72752469,8508845;153;58
Erisma uncinatum;297910897,096278;831;191
Theobroma speciosum;740193870,258373;1603;298
Alexa cowanii;11124491,5107312;74;1
Byrsonima stipulacea;34127660,7294517;318;55
Licania irwinii;14938731,3955469;172;11
Elizabetha princeps;63130930,1477866;192;10
Ilex vismiifolia;86014339,7436088;123;23
Tachigali bracteosa;88740825,5265058;375;45
Maclura tinctoria;110019676,337952;229;41
Eperua jenmanii;140591197,768276;357;12
Alexa confusa;156382489,247768;348;12
Peltogyne paniculata;323412160,27279;721;198
Elvasia calophyllea;21523356,8660227;104;3
Inga marginata;236633559,251836;722;196
Micrandra siphonioides;196215966,837626;411;49
Hura crepitans;419781354,251579;952;152
Zygia inaequalis;142344116,545211;432;63
Capparidastrum coimbranum;34022193,1910957;52;2
Gustavia coriacea;87620487,2962034;176;7
Cochlospermum orinocense;54956932,5074552;119;28
Endlicheria sericea;27874865,2823186;65;27
Simaba guianensis;106763408,710374;307;105
Magonia pubescens;8628647,1149746;30;5
Inga acrocephala;61825666,9684556;215;66
Elaeoluma schomburgkiana;32726842,0497978;55;19
Protium tenuifolium;400036757,653095;2448;284
Xylopia calophylla;133458581,181868;444;77
Simira cordifolia;36558103,3394087;119;27
Zygia racemosa;511035290,017811;2430;428
Matayba elaeagnoides;108802171,425703;81;3
Tovomita obovata;47831827,6699544;222;46
Miconia egensis;12667975,1985106;66;10
Piranhea trifoliata;279460942,59246;430;69
Croton cuneatus;118256598,322316;192;46
Marlierea caudata;40937587,0077771;76;12
Qualea multiflora;17467680,8476054;103;15
Diospyros santaremnensis;15049820,3827223;44;8
Eugenia ferreiraeana;14600232,4375777;22;4
Tabernaemontana flavicans;5128773,23294258;38;4
Pouteria laevigata;115214328,923484;280;106
Sarcaulus brasiliensis;195683886,508147;884;230
Ampelocera ruizii;138512034,242765;265;57
Myroxylon peruiferum;7444551,15190445;16;1
Protium pilosissimum;245741667,850952;668;57
Peltogyne floribunda;52015647,7953183;184;16
Xylopia frutescens;213490128,798315;300;44
Cecropia pachystachya;14824490,6613728;86;6
Miconia chrysophylla;164456145,111614;457;63
Ceiba insignis;40410223,6088894;73;19
Bonellia mucronata;6529065,6994367;9;2
Sloanea eichleri;278999752,289992;693;139
Lecythis chartacea;113136772,022201;390;87
Quararibea amazonica;24642701,9109211;85;12
Xylopia aromatica;96063797,2522933;268;61
Matisia malacocalyx;155927649,670172;1044;86
Eschweilera punctata;176036103,442589;356;29
Catostemma sclerophyllum;32935948,1355188;214;15
Inga alata;27770252,8172846;113;36
Ocotea porosa;104221213,824614;75;2
Guapira venosa;113516932,600383;468;61
Cedrelinga cateniformis;239675540,378933;511;158
Handroanthus uleanus;21475802,2069588;35;4
Cynometra bauhiniifolia;183580109,571835;300;54
Sterculia kayae;29793407,5315418;142;40
Machaerium nyctitans;15129049,9220289;74;6
Tachigali venusta;192664076,066985;373;79
Pachira duckei;20895577,5844066;41;11
Licania elliptica;47289783,7980011;120;16
Inga thibaudiana;348881277,807562;1264;336
Terminalia amazonia;182410231,231766;588;203
Vochysia guianensis;123749746,614212;341;71
Qualea parviflora;48346961,3906965;60;4
Eschweilera pseudodecolorans;113460548,953351;313;99
Xylopia nitida;163112969,225405;1084;248
Luehea candicans;43938527,9822663;97;9
Humiriastrum obovatum;9230788,18763546;82;4
Hevea nitida;182844346,815979;349;39
Hymenopus oblongifolius;260435941,139423;817;162
Dalbergia inundata;23837377,7952828;47;8
Maytenus guyanensis;124604420,024369;260;119
Centronia laurifolia;14146034,7195533;61;2
Annona neoulei;7862751,34167128;17;2
Eugenia stictopetala;59742237,2671695;190;58
Astronium fraxinifolium;36639205,4500539;79;18
Geoffroea spinosa;11908513,327934;50;1
Hydrochorea corymbosa;232541072,895227;613;133
Taralea oppositifolia;321668182,570358;734;137
Ouratea spruceana;22143380,3134027;184;8
Ocotea cujumary;112631862,207266;535;141
Inga cayennensis;90037873,673294;246;102
Coussarea paniculata;35343618,4965097;125;31
Annona papilionella;43539324,7815982;222;75
Tabebuia roseoalba;59103087,8649306;144;13
Sloanea garckeana;69846266,5533046;466;83
Inga capitata;459412839,264509;1133;301
Trichilia pachypoda;64388375,9505069;199;28
Swartzia jenmanii;30499003,2145551;158;14
Osteophloeum platyspermum;497202307,489843;1417;441
Parinari excelsa;141390928,460007;438;184
Vochysia floribunda;43725757,4336503;70;7
Handroanthus heptaphyllus;27238674,2279234;77;5
Duroia micrantha;28089686,1902619;144;17
Pseudolmedia macrophylla;578415617,310121;1300;233
Myrcia platyclada;11326869,5391262;34;5
Lecythis retusa;141355531,684349;134;29
Andira fraxinifolia;92762395,4998583;49;5
Tapura guianensis;135570057,021582;682;147
Monopteryx angustifolia;49390979,3354945;62;3
Pouteria cuspidata;416583539,924426;1061;372
Protium polybotryum;159167475,89586;487;109
