species;population;N.ind;N.plots
Beilschmiedia sulcata;2074730,42924413;1;1
Beilschmiedia tovarensis;5918310,93580875;8;5
Bellucia aequiloba;1022775,929725;1;1
Bellucia dichotoma;41043886,8422545;94;16
Bellucia grossularioides;181410112,14754;223;67
Bellucia huberi;4153619,33141705;3;1
Bellucia imperialis;7577543,51009279;2;2
Bellucia pentamera;12363776,8787377;19;12
Bellucia spruceana;1862812,83361941;5;5
Bellucia strigosa;1219622,59833987;2;1
Bellucia subandina;4246562,82833296;8;4
Bellucia umbellata;1710252,0907157;3;2
Bertholletia excelsa;439564939,617163;324;100
Bertiera guianensis;4504851,31498234;4;4
Billia rosea;1418873,89120127;1;1
Bixa arborea;134547899,331254;125;38
Bixa platycarpa;13092917,7595961;30;16
Bixa urucurana;39408257,0014769;79;18
Blastemanthus gemmiflorus;6360781,67278021;5;2
Blepharocalyx eggersii;3807422,52939285;11;9
Bocageopsis canescens;83675878,4203858;69;15
Bocageopsis mattogrossensis;18505568,9286794;34;8
Bocageopsis multiflora;441223274,493496;706;182
Bocageopsis pleiosperma;31288235,5718311;36;21
Bocoa prouacensis;125682338,256751;739;66
Bocoa viridiflora;124745530,79526;313;107
Bombacopsis nervosa;79378390,691063;51;11
Bombax paraensis;1487466,75162754;4;1
Bonyunia aquatica;10075445,4075539;10;7
Borojoa claviflora;9230521,63784717;12;9
Borojoa stipularis;995634,175490462;3;2
Bothriospora corymbosa;22973795,7826619;20;6
Botryarrhena pendula;43139523,3195478;67;33
Botryarrhena venezuelensis;1975044,62154879;3;2
Bougainvillea modesta;10303620,9937457;10;4
Bowdichia nitida;37401528,4801997;40;22
Bowdichia sebipira;1132436,40742874;1;1
Bowdichia virgilioides;37435744,250109;47;11
Brosimum acutifolium;249956454,561682;256;139
Brosimum alicastrum;187871835,815369;250;73
Brosimum aubletii;5071534,46848413;3;2
Brosimum gaudichaudii;26701926,6464933;19;10
Brosimum guianense;1046659356,90875;1192;414
Brosimum lactescens;2416436138,35746;2273;330
Brosimum longifolium;1695101,73944072;3;3
Brosimum melanopotamicum;8268641,93829659;10;9
Brosimum multinervium;1920285,45921647;1;1
Brosimum parinarioides;264704016,754824;263;158
Brosimum potabile;91542545,4275571;111;67
Brosimum rubescens;1035984176,1457;1472;405
Brosimum utile;494323846,524038;529;213
Brownea ariza;1418873,89120127;1;1
Brownea cauliflora;4954841,14423016;4;2
Brownea coccinea;131178469,571632;122;23
Brownea grandiceps;109212282,363754;328;50
Brownea latifolia;1387245,24022002;1;1
Brownea longipedicellata;4004730,64729927;3;3
Brownea macrophylla;96925796,2220201;199;8
Brownea similis;1198518,1054683;1;1
Browneopsis cauliflora;3156650,87660538;5;1
Browneopsis disepala;631330,175321075;1;1
Browneopsis peruviana;944746,468456396;5;1
Browneopsis ucayalina;162218770,069604;186;23
Brunfelsia grandiflora;1651946,6951908;1;1
Buchenavia amazonia;45280056,9326521;69;28
Buchenavia congesta;105471973,539622;63;46
Buchenavia fanshawei;4676906,56929713;10;5
Buchenavia grandis;154955474,502652;205;130
Buchenavia guianensis;17196156,2624057;30;17
Buchenavia macrophylla;106254371,397109;104;44
Buchenavia nitidissima;1348821,1231695;2;2
Buchenavia ochroprumna;17104715,7835712;21;8
Buchenavia oxycarpa;116818522,256348;95;30
Buchenavia pallidovirens;1173920,34333548;2;2
Buchenavia parvifolia;147281823,223813;147;101
Buchenavia punctata;5104277,32926461;7;6
Buchenavia reticulata;8159726,02500088;6;5
Buchenavia sericocarpa;4464949,29280254;13;10
Buchenavia suaveolens;443432,056827693;1;1
Buchenavia tetraphylla;66311129,2043712;75;41
Buchenavia tomentosa;42547849,9609628;61;33
Buchenavia viridiflora;76338955,4766294;89;32
Bunchosia argentea;13164441,7324177;36;21
Bunchosia hookeriana;383131,630437337;1;1
Burdachia prismatocarpa;9257140,25520117;8;4
Burdachia sphaerocarpa;2382933,24630994;1;1
Bursera inversa;15584204,230179;8;2
Byrsonima aerugo;42050454,4561894;49;27
Byrsonima altissima;4615749,29827575;15;10
Byrsonima amoena;4132191,36716757;2;2
Byrsonima arthropoda;23261055,9745075;32;24
Byrsonima basiloba;2980673,44400378;4;1
Byrsonima chrysophylla;18202640,2898632;17;9
Byrsonima ciliata;2906526,70473178;2;1
Byrsonima coccolobifolia;1839863,10449058;4;2
Byrsonima concinna;5613242,05064192;7;5
Byrsonima coriacea;957143,590461795;1;1
Byrsonima crassifolia;16309747,4533091;23;12
Byrsonima crispa;55554267,232491;65;34
Byrsonima cydoniifolia;39592178,2287104;25;2
Byrsonima densa;57879605,1467069;123;51
Byrsonima duckeana;12119719,6926518;27;19
Byrsonima fernandezii;279904,609771834;1;1
Byrsonima frondosa;10455656,7853525;8;2
Byrsonima garcibarrigae;4254007,91222041;9;5
Byrsonima incarnata;58988331,5614081;61;18
Byrsonima indorum;3531057,73068706;6;1
Byrsonima intermedia;54030039,598777;86;3
Byrsonima japurensis;49723702,0945734;55;25
Byrsonima krukoffii;879886,285550008;1;1
Byrsonima laevigata;45841400,3613316;31;15
Byrsonima lancifolia;6357094,66475566;2;1
Byrsonima laxiflora;647796,479895381;2;2
Byrsonima macrostachya;3824833,84777118;5;4
Byrsonima orbignyana;9629852,28897046;16;2
Byrsonima poeppigiana;21392167,1734418;24;18
Byrsonima punctulata;1093026,52370524;1;1
Byrsonima putumayensis;11184026,3341608;33;15
Byrsonima riparia;13734016,8902712;25;3
Byrsonima rodriguesii;1121666,76321446;3;3
Byrsonima schomburgkiana;5757021,35141338;2;2
Byrsonima schunkei;3456586,1384944;1;1
Byrsonima spicata;4437185,70158184;3;3
Byrsonima stipulacea;113779989,765976;134;42
Byrsonima stipulina;22144275,5666444;41;12
Byrsonima verbascifolia;1490336,72200189;2;1
Byttneria catalpifolia;1044196,75430207;1;1
Cabralea canjerana;107598867,338946;175;64
Caesalpinia coriaria;5996619,70980794;6;1
Caesalpinia paraguariensis;2079797,0867322;1;1
Caesalpinia pluviosa;319628732,222699;274;6
Calatola costaricensis;127820934,08007;286;42
Calliandra carbonaria;2112693,74067753;2;2
Calliandra guildingii;1109980,40086335;4;3
Calliandra hirsuta;648060,86274624;1;1
Calliandra hymenaeoides;835530,776688336;9;2
Calliandra magdalenae;6951346,43772799;8;6
Calliandra purpurea;1801749,33483385;3;3
Calliandra surinamensis;6956900,78458993;5;3
Calliandra trinervia;6290241,05535495;16;9
Callisthene fasciculata;33925148,2064166;38;5
Calophyllum angulare;835679,07678111;2;2
Calophyllum brasiliense;588575508,976715;904;154
Calophyllum longifolium;49985805,0048488;60;12
Calophyllum pachyphyllum;1453263,35236589;1;1
Calycolpus calophyllus;5505344,08886382;5;4
Calycolpus goetheanus;845877,481371311;2;2
